[INFO] 2026-04-01 00:09:05 | Logger initialised. Log file: logs/backfill_20260401_000905.log
[INFO] 2026-04-01 00:09:05 | ============================================================
[INFO] 2026-04-01 00:09:05 | STARTING BACKFILL PIPELINE
[INFO] 2026-04-01 00:09:05 | Seasons: 2015 - 2024
[INFO] 2026-04-01 00:09:05 | ============================================================
[INFO] 2026-04-01 00:09:05 | START: ingest_schedules
[INFO] 2026-04-01 00:09:05 | schedules: Refreshing seasons 2024
[INFO] 2026-04-01 00:09:05 | START: ingest schedules season=2024
[INFO] 2026-04-01 00:09:06 | Wrote 285 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-04-01 00:09:06 | DONE:  ingest schedules season=2024 (1.4s)
[INFO] 2026-04-01 00:09:06 | DONE:  ingest_schedules (1.6s)
[INFO] 2026-04-01 00:09:06 | START: ingest_pbp
[INFO] 2026-04-01 00:09:06 | PBP: Loading seasons 2024
[INFO] 2026-04-01 00:09:06 | START: ingest_pbp season=2024
[INFO] 2026-04-01 00:09:40 | Wrote 49492 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-04-01 00:09:40 | DONE:  ingest_pbp season=2024 (33.3s)
[INFO] 2026-04-01 00:09:40 | DONE:  ingest_pbp (33.3s)
[INFO] 2026-04-01 00:09:40 | START: ingest_player_stats
[INFO] 2026-04-01 00:09:40 | player_stats: Refreshing seasons 2024
[INFO] 2026-04-01 00:09:40 | START: ingest player_stats season=2024
[INFO] 2026-04-01 00:09:42 | Wrote 5597 rows across 1 partitions -> data/raw/player_stats
[INFO] 2026-04-01 00:09:42 | DONE:  ingest player_stats season=2024 (2.3s)
[INFO] 2026-04-01 00:09:42 | DONE:  ingest_player_stats (2.3s)
[INFO] 2026-04-01 00:09:43 | START: ingest_players
[INFO] 2026-04-01 00:09:43 | START: ingest players
[INFO] 2026-04-01 00:09:47 | Wrote 24375 rows -> data/raw/players/data.parquet
[INFO] 2026-04-01 00:09:47 | DONE:  ingest players (3.7s)
[INFO] 2026-04-01 00:09:47 | DONE:  ingest_players (3.7s)
[INFO] 2026-04-01 00:09:47 | START: ingest_rosters
[INFO] 2026-04-01 00:09:47 | rosters: Refreshing seasons 2024
[INFO] 2026-04-01 00:09:47 | START: ingest rosters season=2024
[INFO] 2026-04-01 00:09:48 | Wrote 3216 rows across 1 partitions -> data/raw/rosters
[INFO] 2026-04-01 00:09:48 | DONE:  ingest rosters season=2024 (1.1s)
[INFO] 2026-04-01 00:09:48 | DONE:  ingest_rosters (1.1s)
[INFO] 2026-04-01 00:09:48 | START: ingest_rosters_weekly
[INFO] 2026-04-01 00:09:48 | rosters_weekly: Refreshing seasons 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
[WARN] 2026-04-01 00:09:48 | nflreadr::load_weekly_rosters() not found in your installed version. Run install.packages('nflreadr') to upgrade, then re-run. Skipping weekly rosters for now — season-level rosters are still ingested.
[INFO] 2026-04-01 00:09:48 | DONE:  ingest_rosters_weekly (0s)
[INFO] 2026-04-01 00:09:48 | START: ingest_depth_charts
[INFO] 2026-04-01 00:09:48 | depth_charts: Refreshing seasons 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
[INFO] 2026-04-01 00:09:48 | START: ingest depth_charts season=2001
[INFO] 2026-04-01 00:09:53 | Wrote 36736 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:09:53 | DONE:  ingest depth_charts season=2001 (4.4s)
[INFO] 2026-04-01 00:09:53 | START: ingest depth_charts season=2002
[INFO] 2026-04-01 00:09:57 | Wrote 34594 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:09:57 | DONE:  ingest depth_charts season=2002 (4.4s)
[INFO] 2026-04-01 00:09:57 | START: ingest depth_charts season=2003
[INFO] 2026-04-01 00:10:02 | Wrote 34298 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:02 | DONE:  ingest depth_charts season=2003 (5s)
[INFO] 2026-04-01 00:10:02 | START: ingest depth_charts season=2004
[INFO] 2026-04-01 00:10:06 | Wrote 28898 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:06 | DONE:  ingest depth_charts season=2004 (4.3s)
[INFO] 2026-04-01 00:10:06 | START: ingest depth_charts season=2005
[INFO] 2026-04-01 00:10:11 | Wrote 32803 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:12 | DONE:  ingest depth_charts season=2005 (5.5s)
[INFO] 2026-04-01 00:10:12 | START: ingest depth_charts season=2006
[INFO] 2026-04-01 00:10:17 | Wrote 33721 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:18 | DONE:  ingest depth_charts season=2006 (6.5s)
[INFO] 2026-04-01 00:10:18 | START: ingest depth_charts season=2007
[INFO] 2026-04-01 00:10:22 | Wrote 38547 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:22 | DONE:  ingest depth_charts season=2007 (3.7s)
[INFO] 2026-04-01 00:10:22 | START: ingest depth_charts season=2008
[INFO] 2026-04-01 00:10:27 | Wrote 38651 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:27 | DONE:  ingest depth_charts season=2008 (4.7s)
[INFO] 2026-04-01 00:10:27 | START: ingest depth_charts season=2009
[INFO] 2026-04-01 00:10:31 | Wrote 38423 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:31 | DONE:  ingest depth_charts season=2009 (4.3s)
[INFO] 2026-04-01 00:10:31 | START: ingest depth_charts season=2010
[INFO] 2026-04-01 00:10:34 | Wrote 38421 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:34 | DONE:  ingest depth_charts season=2010 (3.2s)
[INFO] 2026-04-01 00:10:34 | START: ingest depth_charts season=2011
[INFO] 2026-04-01 00:10:38 | Wrote 37941 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:38 | DONE:  ingest depth_charts season=2011 (4.2s)
[INFO] 2026-04-01 00:10:38 | START: ingest depth_charts season=2012
[INFO] 2026-04-01 00:10:43 | Wrote 37312 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:43 | DONE:  ingest depth_charts season=2012 (4.2s)
[INFO] 2026-04-01 00:10:43 | START: ingest depth_charts season=2013
[INFO] 2026-04-01 00:10:46 | Wrote 37066 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:46 | DONE:  ingest depth_charts season=2013 (3.6s)
[INFO] 2026-04-01 00:10:46 | START: ingest depth_charts season=2014
[INFO] 2026-04-01 00:10:50 | Wrote 32542 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:50 | DONE:  ingest depth_charts season=2014 (3.8s)
[INFO] 2026-04-01 00:10:50 | START: ingest depth_charts season=2015
[INFO] 2026-04-01 00:10:53 | Wrote 37058 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:53 | DONE:  ingest depth_charts season=2015 (3.2s)
[INFO] 2026-04-01 00:10:53 | START: ingest depth_charts season=2016
[INFO] 2026-04-01 00:10:59 | Wrote 36612 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:10:59 | DONE:  ingest depth_charts season=2016 (5.8s)
[INFO] 2026-04-01 00:10:59 | START: ingest depth_charts season=2017
[INFO] 2026-04-01 00:11:03 | Wrote 36620 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:11:04 | DONE:  ingest depth_charts season=2017 (4.7s)
[INFO] 2026-04-01 00:11:04 | START: ingest depth_charts season=2018
[INFO] 2026-04-01 00:11:07 | Wrote 36560 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:11:07 | DONE:  ingest depth_charts season=2018 (3.7s)
[INFO] 2026-04-01 00:11:07 | START: ingest depth_charts season=2019
[INFO] 2026-04-01 00:11:11 | Wrote 36308 rows across 1 partitions -> data/raw/depth_charts
[INFO] 2026-04-01 00:11:11 | DONE:  ingest depth_charts season=2019 (3.2s)
[INFO] 2026-04-01 00:11:11 | START: ingest depth_charts season=2020
